Provincia,Cantón,Incumbente,Ganador
San José,San José,PLN,Juntos San José
San José,Escazú,PNG,PNG
San José,Desamparados,PLN,PLN
San José,Puriscal,PLN,PLN
San José,Tarrazú,PUSC,PUSC
San José,Aserrí,PLN,PLN
San José,Mora,PNG,PLP
San José,Goicoechea,PLN,PLN
San José,Santa Ana,PLN,PUSC
San José,Alajuelita,PNG,PNG
San José,Vázquez de Coronado,PRSC,PLN
San José,Acosta,PAC,PLN
San José,Tibás,PLN,PLN
San José,Moravia,Somos Moravia,Somos Moravia
San José,Montes de Oca,CGMO,PUSC
San José,Turrubares,PCU,Unidos Podemos
San José,Dota,PLN,PUSC
San José,Curridabat,CSXXI,CSXXI
San José,Pérez Zeledón,PUSC,PUSC
San José,León Cortés,PLN,Frente Amplio
Alajuela,Alajuela,PLN,PLN
Alajuela,San Ramón,PLN,PUSC
Alajuela,Grecia,PUSC,Unidos Podemos
Alajuela,San Mateo,PLN,PLN
Alajuela,Atenas,PUSC,PPSD
Alajuela,Naranjo,PUSC,PLN
Alajuela,Palmares,PPP,Demasiado ajustado para declarar
Alajuela,Poás,PUSC,PUSC
Alajuela,Orotina,PLN,PLN
Alajuela,San Carlos,PLN,PLN
Alajuela,Zarcero,PLN,PLN
Alajuela,Sarchí,APS,APS
Alajuela,Upala,PUSC,PUSC
Alajuela,Los Chiles,PLN,PLN
Alajuela,Guatuso,PLN,PUSC
Alajuela,Río Cuarto,PLN,PLN
Cartago,Cartago,ADC,Actuemos Ya
Cartago,Paraíso,PLN,Unidos Podemos
Cartago,La Unión,PLN,PLN
Cartago,Jiménez,PLN,PLN
Cartago,Turrialba,PAC,PNG
Cartago,Alvarado,PLN,Unidos Podemos
Cartago,Oreamuno,UP,Unidos Podemos
Cartago,El Guarco,PLN,PLN
Heredia,Heredia,PLN,PLN
Heredia,Barva,PRSC,PRSC
Heredia,Santo Domingo,MAS,PLN
Heredia,Santa Bárbara,PLN,PLN
Heredia,San Rafael,PLN,Demasiado ajustado para declarar
Heredia,San Isidro,PUSC,Avance Isidreño
Heredia,Belén,PUSC,PUSC
Heredia,Flores,PLN,PLN
Heredia,San Pablo,PUSC,PUSC
Heredia,Sarapiquí,PLN,PLN
Guanacaste,Liberia,PUSC,Demasiado ajustado para declarar
Guanacaste,Nicoya,LGN,La Gran Nicoya
Guanacaste,Santa Cruz,PASC,Auténtico Santacruceño
Guanacaste,Bagaces,PUSC,PLP
Guanacaste,Carrillo,PLN,PPSD
Guanacaste,Cañas,PLN,Unidos Podemos
Guanacaste,Abangares,PLN,Unidos Podemos
Guanacaste,Tilarán,PLN,PLN
Guanacaste,Nandayure,PNI,PUSC
Guanacaste,La Cruz,PNG,PNG
Guanacaste,Hojancha,PAC,PUSC
Puntarenas,Puntarenas,PLN,PUSC
Puntarenas,Esparza,PLN,PUSC
Puntarenas,Buenos Aires,PLN,PLN
Puntarenas,Montes de Oro,PAC,PLN
Puntarenas,Osa,PLN,Nueva República
Puntarenas,Quepos,PLN,PUSC
Puntarenas,Coto Brus,PLN,PUSC
Puntarenas,Parrita,PLN,Demasiado ajustado para declarar
Puntarenas,Corredores,PLN,PLN
Puntarenas,Garabito,PLN,Pueblo Garabito
Puntarenas,Golfito,PUSC,PUSC
Puntarenas,Monteverde,Primera elección,PRSC
Puntarenas,Puerto Jiménez,Primera elección,PLP
Limón,Limón,PAL,Unidos Podemos
Limón,Pococí,PAREVA,Unidos Podemos
Limón,Siquirres,PLN,PLN
Limón,Talamanca,PUSC,PUSC
Limón,Matina,PUSC,PUSC
Limón,Guácimo,PLN,Justicia Social Costarricense
